"bin","k","rep","mast"
"20-30%",4,8,28
"20-30%",4,9,28
"20-30%",4,10,28
"20-30%",4,11,29
"20-30%",4,12,29
"20-30%",4,13,29
"20-30%",4,14,29
"20-30%",4,15,27
"20-30%",5,1,26
"20-30%",5,2,27
"20-30%",5,3,28
"20-30%",5,4,27
"20-30%",5,5,27
"20-30%",5,6,27
"20-30%",5,7,27
"20-30%",5,8,27
"20-30%",5,9,27
"20-30%",5,10,27
"20-30%",5,11,27
"20-30%",5,12,27
"20-30%",5,13,27
"20-30%",5,14,28
"20-30%",5,15,27
"20-30%",6,1,25
"20-30%",6,2,26
"20-30%",6,3,30
"20-30%",6,4,26
"20-30%",6,5,26
"20-30%",6,6,26
"20-30%",6,7,26
"20-30%",6,8,25
"20-30%",6,9,25
"20-30%",6,10,25
"20-30%",6,11,26
"20-30%",6,12,27
"20-30%",6,13,25
"20-30%",6,14,28
"20-30%",6,15,27
"20-30%",7,1,28
"20-30%",7,2,25
"20-30%",7,3,25
"20-30%",7,4,26
"20-30%",7,5,26
"20-30%",7,6,29
"20-30%",7,7,26
"20-30%",7,8,25
"20-30%",7,9,26
"20-30%",7,10,25
"20-30%",7,11,26
"20-30%",7,12,26
"20-30%",7,13,24
"20-30%",7,14,27
"20-30%",7,15,25
"20-30%",8,1,24
"20-30%",8,2,23
"20-30%",8,3,25
"20-30%",8,4,24
"20-30%",8,5,23
"20-30%",8,6,24
"20-30%",8,7,26
"20-30%",8,8,24
"20-30%",8,9,24
"20-30%",8,10,24
"20-30%",8,11,25
"20-30%",8,12,24
"20-30%",8,13,23
"20-30%",8,14,24
"20-30%",8,15,24
"20-30%",9,1,23
"20-30%",9,2,23
"20-30%",9,3,23
"20-30%",9,4,24
"20-30%",9,5,25
"20-30%",9,6,24
"20-30%",9,7,23
"20-30%",9,8,25
"20-30%",9,9,24
"20-30%",9,10,23
"20-30%",9,11,22
"20-30%",9,12,24
"20-30%",9,13,23
"20-30%",9,14,23
"20-30%",9,15,23
"20-30%",10,1,22
"20-30%",10,2,22
"20-30%",10,3,21
"20-30%",10,4,22
"20-30%",10,5,22
"20-30%",10,6,21
"20-30%",10,7,21
"20-30%",10,8,17
"20-30%",10,9,23
"20-30%",10,10,22
"20-30%",10,11,22
"20-30%",10,12,21
"20-30%",10,13,24
"20-30%",10,14,22
"20-30%",10,15,22
"20-30%",11,1,22
"20-30%",11,2,22
"20-30%",11,3,20
"20-30%",11,4,24
"20-30%",11,5,20
"20-30%",11,6,23
"20-30%",11,7,21
"20-30%",11,8,16
"20-30%",11,9,21
"20-30%",11,10,21
"20-30%",11,11,22
"20-30%",11,12,23
"20-30%",11,13,21
"20-30%",11,14,22
"20-30%",11,15,21
"20-30%",12,1,20
"20-30%",12,2,21
"20-30%",12,3,18
"20-30%",12,4,20
"20-30%",12,5,20
"20-30%",12,6,20
"20-30%",12,7,19
"20-30%",12,8,21
"20-30%",12,9,23
"20-30%",12,10,18
"20-30%",12,11,17
"20-30%",12,12,20
"20-30%",12,13,22
"20-30%",12,14,17
"20-30%",12,15,20
"20-30%",13,1,18
"20-30%",13,2,16
"20-30%",13,3,20
"20-30%",13,4,22
"20-30%",13,5,19
"20-30%",13,6,18
"20-30%",13,7,17
"20-30%",13,8,20
"20-30%",13,9,23
"20-30%",13,10,20
"20-30%",13,11,23
"20-30%",13,12,19
"20-30%",13,13,20
"20-30%",13,14,21
"20-30%",13,15,20
"20-30%",14,1,19
"20-30%",14,2,20
"20-30%",14,3,18
"20-30%",14,4,20
