"bin","k","mean_mast","sd_mast","mean_coph","sd_coph"
"75-80%",16,17.8766666666667,NA,-0.00624830199102355,NA
"75-80%",17,18.0166666666667,NA,-0.00185060056755306,NA
"75-80%",18,18.5333333333333,NA,0.0079682970653489,NA
"75-80%",19,19.0433333333333,NA,0.0277159468262475,NA
"75-80%",20,19.9166666666667,NA,0.0538791884303752,NA
"75-80%",21,20.7033333333333,NA,0.0887594640992138,NA
"75-80%",22,21.96,NA,0.12979086891082,NA
"75-80%",23,23.0166666666667,NA,0.178047817995341,NA
"75-80%",24,24.0733333333333,NA,0.235491655287129,NA
"75-80%",25,25.0266666666667,NA,0.29833281351425,NA
"75-80%",26,25.96,NA,0.375029153736455,NA
"75-80%",27,26.9566666666667,NA,0.455199606050461,NA
"75-80%",28,27.9633333333333,NA,0.545784818784509,NA
"75-80%",29,28.9466666666667,NA,0.645854754709537,NA
"75-80%",30,29.94,NA,0.753004111011046,NA
"75-80%",31,30.98,NA,0.871313893595861,NA
